   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 3587 50000 50
Inverse_Sorted_Vector 3975 50000 50
Inverse_Sorted_Vector 3947 50000 50
Inverse_Sorted_Vector 10092 50000 50
   Average 

Sample_Type m n Runtime
Random_Vector 13868 100000 10
Random_Vector 13983 100000 10
Random_Vector 17780 100000 10
Random_Vector 7899 100000 10
Random_Vector 14014 100000 10
Random_Vector 9011 100000 10
Random_Vector 9153 100000 10
Random_Vector 13350 100000 10
Random_Vector 17804 100000 10
Random_Vector 15461 100000 10
   Average 

Sample_Type m n Runtime
Sorted_Vector 4 100000 10
Sorted_Vector 3 100000 10
Sorted_Vector 5 100000 10
Sorted_Vector 7 100000 10
Sorted_Vector 4 100000 10
Sorted_Vector 4 100000 10
Sorted_Vector 3 100000 10
Sorted_Vector 3 100000 10
Sorted_Vector 3 100000 10
Sorted_Vector 5 100000 10
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 19658 100000 10
Inverse_Sorted_Vector 21277 100000 10
Inverse_Sorted_Vector 36572 100000 10
Inverse_Sorted_Vector 40615 100000 10
Inverse_Sorted_Vector 32384 100000 10
Inverse_Sorted_Vector 24003 100000 10
Inverse_Sorted_Vector 23531 100000 10
Inverse_Sorted_Vector 31839 100000 10
Inverse_Sorted_Vector 19719 100000 10
Inverse_Sorted_Vector 18858 100000 10
   Average 

Sample_Type m n Runtime
Random_Vector 7823 100000 25
Random_Vector 9151 100000 25
Random_Vector 15763 100000 25
Random_Vector 11855 100000 25
Random_Vector 19725 100000 25
Random_Vector 19862 100000 25
Random_Vector 8539 100000 25
Random_Vector 16920 100000 25
Random_Vector 20265 100000 25
Random_Vector 11723 100000 25
   Average 

Sample_Type m n Runtime
Sorted_Vector 12 100000 25
Sorted_Vector 17 100000 25
Sorted_Vector 7 100000 25
Sorted_Vector 9 100000 25
Sorted_Vector 7 100000 25
Sorted_Vector 8 100000 25
Sorted_Vector 16 100000 25
Sorted_Vector 19 100000 25
Sorted_Vector 19 100000 25
Sorted_Vector 14 100000 25
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 16936 100000 25
Inverse_Sorted_Vector 17978 100000 25
Inverse_Sorted_Vector 24522 100000 25
Inverse_Sorted_Vector 24156 100000 25
Inverse_Sorted_Vector 30586 100000 25
Inverse_Sorted_Vector 31428 100000 25
Inverse_Sorted_Vector 14807 100000 25
Inverse_Sorted_Vector 25993 100000 25
Inverse_Sorted_Vector 25749 100000 25
Inverse_Sorted_Vector 20724 100000 25
   Average 

Sample_Type m n Runtime
Random_Vector 12002 100000 50
Random_Vector 7508 100000 50
Random_Vector 10846 100000 50
Random_Vector 10125 100000 50
Random_Vector 7835 100000 50
Random_Vector 17902 100000 50
Random_Vector 8179 100000 50
Random_Vector 14242 100000 50
Random_Vector 9557 100000 50
Random_Vector 8068 100000 50
   Average 

Sample_Type m n Runtime
Sorted_Vector 16 100000 50
Sorted_Vector 16 100000 50
Sorted_Vector 17 100000 50
Sorted_Vector 22 100000 50
Sorted_Vector 16 100000 50
Sorted_Vector 36 100000 50
Sorted_Vector 16 100000 50
Sorted_Vector 17 100000 50
Sorted_Vector 21 100000 50
Sorted_Vector 24 100000 50
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 14680 100000 50
Inverse_Sorted_Vector 17188 100000 50
Inverse_Sorted_Vector 14790 100000 50
Inverse_Sorted_Vector 20695 100000 50
Inverse_Sorted_Vector 15229 100000 50
Inverse_Sorted_Vector 27972 100000 50
Inverse_Sorted_Vector 18529 100000 50
Inverse_Sorted_Vector 21316 100000 50
Inverse_Sorted_Vector 19047 100000 50
Inverse_Sorted_Vector 14854 100000 50
   Average 

Sample_Type m n Runtime
Random_Vector 67478 250000 10
Random_Vector 84060 250000 10
Random_Vector 49388 250000 10
Random_Vector 59795 250000 10
Random_Vector 92345 250000 10
Random_Vector 48554 250000 10
Random_Vector 76713 250000 10
Random_Vector 60527 250000 10
Random_Vector 71053 250000 10
Random_Vector 66841 250000 10
   Average 

Sample_Type m n Runtime
Sorted_Vector 8 250000 10
Sorted_Vector 9 250000 10
